Roll Number,Full Name,Mobile Number
1,Aarav Sharma,9120000001
2,Ananya Singh,9120000002
3,Vihaan Patel,9120000003
4,Riya Gupta,9120000004
5,Arjun Rao,9120000005
6,Isha Kapoor,9120000006
7,Aditya Mehta,9120000007
8,Sakshi Jain,9120000008
9,Karan Verma,9120000009
10,Meera Nair,9120000010
11,Rahul Desai,9120000011
12,Pooja Mishra,9120000012
13,Siddharth Roy,9120000013
14,Kavya Reddy,9120000014
15,Devansh Khanna,9120000015
16,Naina Prasad,9120000016
17,Yogesh Kulkarni,9120000017
18,Tanya Sinha,9120000018
19,Manish Chawla,9120000019
20,Sneha Menon,9120000020
21,Rohit Bhatia,9120000021
22,Aditi Iyer,9120000022
23,Kunal Sood,9120000023
24,Shruti Bhatt,9120000024
25,Eshan Das,9120000025
26,Bhavya Shah,9120000026
27,Tarun Malhotra,9120000027
28,Sahana Pillai,9120000028
29,Nikhil Agarwal,9120000029
30,Divya Saxena,9120000030
31,Mohit Chopra,9120000031
32,Anushka Bose,9120000032
33,Vikram Chauhan,9120000033
34,Trisha Dutta,9120000034
35,Kiran Batra,9120000035
36,Pranav Khurana,9120000036
37,Shraddha Purohit,9120000037
38,Tanmay Jha,9120000038
39,Anjali Ghosh,9120000039
40,Arnav Nigam,9120000040
